step	time	T	Ekin	lj	bond_123	angle_250	dihedral_190	lj-14_0	lj-14_1
175000	175	3.54724	39906.4	-37307.2	14472.2	17462	77202.8	461.091	17642.6
176000	176	3.54894	39925.5	-37537.7	14194.8	17214.3	77617.9	478.39	17845.7
177000	177	3.47779	39125.1	-37194	14108.1	17294.7	77649.3	332.041	17378.3
178000	178	3.53765	39798.5	-37439.6	14219.9	17010.9	77805.9	411.455	17514
179000	179	3.49502	39319	-37191.5	14741.4	17045.8	76875.8	421.732	17745.9
180000	180	3.52991	39711.5	-37456.4	13955.3	17578.2	77316.3	483.887	17913.2
181000	181	3.54431	39873.5	-37522.3	14249.5	17396.7	77151.5	423.91	17520
182000	182	3.48467	39202.5	-37283.4	14055.7	17102.4	76812.8	477.396	17787.1
183000	183	3.54052	39830.8	-37465.3	14075.8	17562.3	77110	381.344	17695.9
184000	184	3.45273	38843.2	-37449.3	13642.8	17290	76359.9	406.726	18094.1
185000	185	3.50197	39397.1	-37344.5	14187	17764.8	77157.2	438.836	17480.6
186000	186	3.55355	39977.4	-37527.3	14063.8	17546.4	76907.5	551.3	17796
187000	187	3.53558	39775.3	-37224.6	14347	17685.1	77240.1	438.765	17485.7
188000	188	3.52872	39698.1	-37139.9	14318.7	17793.5	76137.8	495.59	18174.2
189000	189	3.49339	39300.6	-37231.9	14132.3	17330.9	76399.5	483.851	18346.7
190000	190	3.49406	39308.2	-37231.9	14067.4	17440.9	76665.9	472.72	17972.7
191000	191	3.55394	39981.9	-37501.1	14238	17069.7	77173.4	380.72	17691.7
192000	192	3.51618	39557	-37278.8	14095.1	17053.8	77400.1	360.984	17874
193000	193	3.50864	39472.2	-37350	14064.4	17542.9	77021.6	398.141	18031.6
194000	194	3.48528	39209.4	-37473.8	13976.1	17431	77032.5	447.811	17973.7
195000	195	3.49275	39293.5	-37379.1	14003.2	17272.3	77213.8	410.348	17775.8
196000	196	3.4703	39040.8	-37184.9	13899.5	17426.3	76964.7	515.783	17645.6
197000	197	3.51078	39496.3	-37447.8	13964.8	17905.6	76527.6	406.633	17572.3
198000	198	3.51864	39584.7	-37288.9	14196	17234.9	76897.6	387.198	18136.3
199000	199	3.52298	39633.5	-37215.2	14129.4	17267.6	76877.5	384.598	18404
200000	200	3.53531	39772.2	-37305.7	14214.7	17245.2	77324.8	440.565	17735.3
201000	201	3.49408	39308.4	-37070.7	14596.4	17319.7	76327.5	386.197	18081.1
202000	202	3.48948	39256.7	-37233.9	14191.9	17415.9	77194.6	381.555	17798.8
203000	203	3.45743	38896.1	-37380.8	14496.5	18078	76955.1	378.273	17649
204000	204	3.46513	38982.7	-37267.7	13931.7	17132.7	77290.7	429.767	17607.8
205000	205	3.57696	40240.7	-37381.9	14156.3	17726.6	77512.1	393.352	17736
206000	206	3.52907	39702	-37239.3	14118.9	17418.8	77194	423.351	17674
207000	207	3.52441	39649.6	-37378.1	14089.3	17170.4	77585	387.126	17451.2
208000	208	3.51696	39565.8	-37191.3	14212.1	17183.6	78050.8	414.313	17494.1
209000	209	3.50388	39418.7	-37411.1	13968.2	17889.7	77330.6	442.483	17645.6
210000	210	3.50248	39402.9	-37276	14087.6	17635.4	77543.9	379.727	17226
211000	211	3.4709	39047.7	-37356.7	14341.6	16796.9	77502.3	405.634	17780.9
212000	212	3.50674	39450.8	-37494.2	13964.9	16958.6	77445.1	501.076	17758.3
213000	213	3.50234	39401.3	-37435.2	14385.4	17607.5	76983.4	390.736	17960.7
214000	214	3.50401	39420.1	-37345.1	14242.2	17369.3	76997.6	366.152	17878.8
215000	215	3.49922	39366.2	-37392.2	14232.6	17645.9	77289.9	415.638	17750.3
216000	216	3.49931	39367.2	-37327.6	14366.4	17375.1	76813.3	433.578	18134.9
217000	217	3.49139	39278.2	-37179.4	13865	18117.1	76927	417.979	17965.8
218000	218	3.58204	40298	-37470.1	14102.1	17506.7	77250.4	448.661	17665.9
219000	219	3.52868	39697.6	-37468.3	14046.6	17740.8	77409.7	375.086	17522.6
220000	220	3.51669	39562.7	-37338	14267.2	17489.7	77250.9	410.366	17751.3
221000	221	3.51018	39489.6	-37362.4	14277.6	17669.1	77752.1	325.92	17295.4
222000	222	3.5602	40052.2	-37347.2	14324.7	17778.1	77639	384.721	17449.8
223000	223	3.47242	39064.7	-37415.9	14072.1	17539.9	77710.8	411.719	17491.7
224000	224	3.56391	40094	-37416.5	13911.7	17714.2	77513.3	421.05	17420.4
225000	225	3.46946	39031.4	-37351.5	14224	17177	77448	385.275	17737.2
226000	226	3.52141	39615.8	-37249.2	14133.1	18002.7	77208.8	394.142	17761
227000	227	3.53533	39772.5	-37196	14371.6	17699.1	76735.1	383.282	17874.5
228000	228	3.56288	40082.4	-37502.5	14078.9	17521.5	77170.5	329.116	17767.8
229000	229	3.44615	38769.1	-37118.9	14191	17620.7	76908	396.44	17901.1
