step	time	T	Ekin	lj	bond_2	angle_4	dihedral_0	lj-14_0	lj-14_1
265000	265	2.42235	21801.1	-30727.6	7102.85	6345.74	6858.63	-845.106	-2099.59
266000	266	2.45459	22091.3	-30739.3	6894.16	6474.16	7320.39	-848.897	-2179.54
267000	267	2.5007	22506.3	-30704.5	7024.1	6342	6949.81	-862.955	-2133.95
268000	268	2.4708	22237.2	-30604.1	6657.65	6290.89	7240.88	-844.988	-2132.5
269000	269	2.4946	22451.4	-30495.8	6810.72	6356.64	7002.75	-818.068	-2174.02
270000	270	2.49306	22437.6	-30550.9	6960.57	6267.03	6925.55	-803.865	-2111.22
271000	271	2.51289	22616	-30746.4	6842.18	6189.82	7039.07	-771.854	-2159.19
272000	272	2.4661	22194.9	-30737.7	6932.04	6411.59	7148.71	-784.551	-2184.48
273000	273	2.49936	22494.3	-30743.4	6850.4	6409.78	7232.47	-860.348	-2189.63
274000	274	2.47886	22309.8	-30581.7	6764.3	6419.65	7006.18	-882.949	-2174.31
275000	275	2.51034	22593.1	-30763.1	6902.29	6365.06	7252.11	-867.881	-2223.18
276000	276	2.46485	22183.6	-30661.8	6787.34	6550.44	7198.25	-870.938	-2223.28
277000	277	2.49211	22429	-30616.9	6902.57	6480.83	7063.85	-843.825	-2249.19
278000	278	2.48887	22399.9	-30539.3	6723.37	6654.11	7081.01	-839.902	-2248.7
279000	279	2.47231	22250.8	-30655.7	7012.25	6401.31	7220.91	-889.381	-2243.35
280000	280	2.45735	22116.2	-30672.5	6823.68	6599.37	6937.03	-842.264	-2140.08
281000	281	2.50412	22537.1	-30554.5	6694.72	6499.07	7047.89	-803.633	-2199.09
282000	282	2.49402	22446.2	-30418.4	6812.29	6644.07	7099.94	-858.319	-2213.81
283000	283	2.52495	22724.5	-30597.8	7002.08	6461	6936.16	-778.924	-2282.29
284000	284	2.45675	22110.8	-30515	6770.82	6219.71	6971.99	-814.904	-2119.69
285000	285	2.49425	22448.3	-30649.6	7085.31	6357.08	7234.58	-855.568	-2193.25
286000	286	2.50773	22569.6	-30555.5	6818.12	6670.32	7244.95	-833.007	-2276.44
287000	287	2.45819	22123.7	-30582.5	6847.84	6323.6	7236.71	-815.067	-2292.17
288000	288	2.46425	22178.2	-30568.7	6665.24	6399.15	7321.39	-829.471	-2289.86
289000	289	2.49467	22452	-30595.5	6786.03	6410.75	7082.4	-765.667	-2249.64
290000	290	2.4687	22218.3	-30630.4	6729.41	6243.14	7119.93	-755.254	-2208.71
291000	291	2.50378	22534	-30656.4	6835.57	6385.43	6966.72	-830.28	-2188.5
292000	292	2.49624	22466.2	-30466.7	6913.26	6450.53	7023.55	-792.767	-2239.92
293000	293	2.45726	22115.4	-30704.3	6773.77	6259.59	7138.82	-833.634	-2182.88
294000	294	2.50241	22521.7	-30617	6843.52	6502.12	7301.13	-821.112	-2212.61
